"","Palavra","Dimensao","Media","DP"
"133","ARMA","Valencia",2.24,2.5
"134","ARMA","Ativacao",6.97,2.5
"135","ARMAMENTO","Valencia",2.17,1.65
"136","ARMAMENTO","Ativacao",6.45,2.97
"137","ARMÁRIO","Valencia",6.11,1.72
"138","ARMÁRIO","Ativacao",3.21,2.2
"139","ARREPENDIDO","Valencia",3.46,2.46
"140","ARREPENDIDO","Ativacao",5.2,2.64
"141","ARROGANTE","Valencia",2.05,1.9
"142","ARROGANTE","Ativacao",6.32,2.77
"143","ARRUMADO","Valencia",7.78,1.82
"144","ARRUMADO","Ativacao",3.24,2.39
"145","COMPROMETIDO","Valencia",6.33,2.53
"146","COMPROMETIDO","Ativacao",4.65,3.08
"147","COMPUTADOR","Valencia",6.62,1.98
"148","COMPUTADOR","Ativacao",4.66,2.62
"149","CONCENTRADO","Valencia",6.71,2.14
"150","CONCENTRADO","Ativacao",4.1,2.87
"151","CONFIANÇA","Valencia",7.97,2.08
"152","CONFIANÇA","Ativacao",4.67,3.31
"153","CONFIANTE","Valencia",7.42,1.99
"154","CONFIANTE","Ativacao",4.64,3.09
"155","CONFORTO","Valencia",8.03,1.53
"156","CONFORTO","Ativacao",4.17,3.12
"157","CONFUSO","Valencia",2.54,1.61
"158","CONFUSO","Ativacao",5.83,3
"159","CONHECIMENTO","Valencia",8.29,1.32
"160","CONHECIMENTO","Ativacao",5.08,3.32
"161","CÔNJUGE","Valencia",6.02,2.52
"162","CÔNJUGE","Ativacao",4.23,3.18
"163","CONSOLADO","Valencia",5.36,2.11
"164","CONSOLADO","Ativacao",3.55,2.44
"165","CONSTRANGIDO","Valencia",2.96,1.41
"166","CONSTRANGIDO","Ativacao",5.15,2.73
"167","CONTENTAMENTO","Valencia",6.72,2.33
"168","CONTENTAMENTO","Ativacao",4.18,2.84
"169","CONTEÚDO","Valencia",7.04,1.87
"170","CONTEÚDO","Ativacao",3.81,2.6
"171","CONTEXTO","Valencia",5.36,1.56
"172","CONTEXTO","Ativacao",3.99,2.32
"173","CONTINÊNCIA","Valencia",4.4,1.91
"174","CONTINÊNCIA","Ativacao",3.81,2.69
"175","CONTROLE","Valencia",5.75,2.28
"176","CONTROLE","Ativacao",5.04,2.65
"177","COR","Valencia",7.65,1.63
"178","COR","Ativacao",3.48,2.94
"179","CORAÇÃO","Valencia",7.73,1.93
"180","CORAÇÃO","Ativacao",4.88,3.17
"181","CORAGEM","Valencia",7.96,1.65
"182","CORAGEM","Ativacao",5.19,3.01
"183","CORDA","Valencia",4.53,1.72
"184","CORDA","Ativacao",3.96,2.36
"185","CORDEIRO","Valencia",5.56,2.05
"186","CORDEIRO","Ativacao",2.58,2.29
"187","COROA","Valencia",5.58,1.94
"188","COROA","Ativacao",3.76,2.37
"189","CORPO","Valencia",6.94,2.34
"190","CORPO","Ativacao",4.67,2.79
"191","CORREDOR","Valencia",5.3,1.76
"192","CORREDOR","Ativacao",4.27,2.54
"193","CORRUPTO","Valencia",1.63,1.18
"194","CORRUPTO","Ativacao",6.04,3.11
"195","CORTE","Valencia",3.3,1.81
"196","CORTE","Ativacao",5.09,2.69
"197","CORTESIA","Valencia",8.02,1.42
"198","CORTESIA","Ativacao",3.6,2.96
"199","CORTIÇA","Valencia",5,1.32
"200","CORTIÇA","Ativacao",3.68,2.31
"201","CORTINAS","Valencia",5.88,1.84
"202","CORTINAS","Ativacao",2.42,2.04
"203","CORUJA","Valencia",5.68,1.86
"204","CORUJA","Ativacao",3.57,2.39
"205","COSTA","Valencia",5.54,1.92
"206","COSTA","Ativacao",3.5,2.58
"207","COSTUME","Valencia",5.42,1.82
"208","COSTUME","Ativacao",3.87,2.45
"209","COTOVELO","Valencia",4.88,1.72
"210","COTOVELO","Ativacao",2.4,2.02
"211","COVARDE","Valencia",2.51,1.77
"212","COVARDE","Ativacao",5.45,2.66
"213","COZINHEIRO","Valencia",6.79,2
"214","COZINHEIRO","Ativacao",3.4,2.8
"215","CREPÚSCULO","Valencia",5.34,2.06
"216","CREPÚSCULO","Ativacao",4.28,2.54
"217","CRIANÇA","Valencia",7.92,1.83
"218","CRIANÇA","Ativacao",4.08,3.04
"219","CRIME","Valencia",1.72,1.55
"220","CRIME","Ativacao",6.45,3
"221","CRIMINOSO","Valencia",1.75,1.63
"222","CRIMINOSO","Ativacao",6.27,2.98
"223","CRISE","Valencia",2.31,1.73
"224","CRISE","Ativacao",5.97,2.73
"225","CRU","Valencia",3.58,2.18
"226","CRU","Ativacao",3.1,2.69
"227","CRUCIFICAR","Valencia",2.36,1.62
"228","CRUCIFICAR","Ativacao",5.32,2.97
"229","CRUEL","Valencia",1.67,1.39
"230","CRUEL","Ativacao",5.58,3.1
"231","CULINÁRIA","Valencia",7.03,2.23
"232","CULINÁRIA","Ativacao",4.51,3.05
"233","CULPADO","Valencia",2.27,1.57
"234","CULPADO","Ativacao",5.19,2.84
"235","CUPIM","Valencia",2.99,1.85
"236","CUPIM","Ativacao",4.56,3.03
"237","CURAR","Valencia",7.83,1.74
"238","CURAR","Ativacao",4.42,3.09
"239","CURIOSO","Valencia",6.77,1.82
"240","CURIOSO","Ativacao",5.48,2.57
"241","DÁDIVA","Valencia",7.73,1.75
"242","DÁDIVA","Ativacao",3.31,2.81
"243","DANÇARINO","Valencia",6.7,2.2
"244","DANÇARINO","Ativacao",4.33,3.09
"245","DANO","Valencia",2.32,1.78
"246","DANO","Ativacao",4.72,2.69
"247","DÉBIL","Valencia",3.13,1.83
"248","DÉBIL","Ativacao",3.86,2.55
"249","DÉBITO","Valencia",2.47,1.82
"250","DÉBITO","Ativacao",5.3,2.84
"251","DECEPCIONAR","Valencia",1.76,1.28
"252","DECEPCIONAR","Ativacao",6.09,2.7
"253","DECOMPOR","Valencia",3.94,2.06
"254","DECOMPOR","Ativacao",2.92,2.24
"255","DECORAR","Valencia",6.22,2.78
"256","DECORAR","Ativacao",4.72,2.9
"257","DEDO","Valencia",5.75,1.87
"258","DEDO","Ativacao",2.56,2.31
"259","DEFEITO","Valencia",3.15,1.99
"260","DEFEITO","Ativacao",5.17,2.54
"261","DEFICIENTE","Valencia",3.13,1.91
"262","DEFICIENTE","Ativacao",4.13,2.92
"263","DEFORMADO","Valencia",2.43,1.78
