"","Palavra","Dimensao","Media","DP"
"131","DEFICIENTE","Ativacao",4.13,2.92
"132","DEFORMADO","Ativacao",4.95,2.89
"133","DELEITE","Ativacao",2.82,2.37
"134","DELICADO","Ativacao",3.72,2.57
"135","DEMÔNIO","Ativacao",4.49,3.25
"136","DEMORADO","Ativacao",6,2.81
"137","DENTISTA","Ativacao",4.02,2.65
"138","DEPRESSÃO","Ativacao",5.69,3.05
"139","DEPRIMENTE","Ativacao",4.88,3.11
"140","DEPRIMIDO","Ativacao",5.12,2.73
"141","DERROTADO","Ativacao",5,3.13
"142","DESAFIANTE","Ativacao",5.64,2.86
"143","DESAFIO","Ativacao",6,2.84
"144","DESAGRADADO","Ativacao",5.68,2.38
"145","FESTA","Ativacao",4.49,3.31
"146","FESTIVO","Ativacao",5.54,3.31
"147","FILHOTE","Ativacao",3.96,2.38
"148","FIRMAMENTO","Ativacao",4,2.93
"149","FIRME","Ativacao",3.94,2.46
"150","FLÁCIDO","Ativacao",4.77,2.9
"151","FLEXÍVEL","Ativacao",4.06,2.74
"152","FLOR","Ativacao",3.17,2.95
"153","FLORESCER","Ativacao",3.31,2.49
"154","FOFOCA","Ativacao",5.65,3.11
"155","FOGÃO","Ativacao",4.76,3.02
"156","FOGO","Ativacao",5.35,2.68
"157","FORÇA","Ativacao",4.76,2.77
"158","FORTE","Ativacao",4.66,3.01
"159","FORTUITO","Ativacao",3.91,2.6
"160","FOTOGRAFIA","Ativacao",4.61,3.15
"161","FRAGRÂNCIA","Ativacao",3.8,2.45
"162","FRAUDE","Ativacao",6,2.82
"163","FREIRA","Ativacao",3.91,2.62
"164","FRÍGIDA","Ativacao",4.79,2.78
"165","FRIO","Ativacao",4.85,2.7
"166","FRUSTRADO","Ativacao",5.84,2.84
"167","FUGA","Ativacao",5.26,2.82
"168","FUNERAL","Ativacao",4.89,3.34
"169","FUNGO","Ativacao",4.65,2.56
"170","FURACÃO","Ativacao",6.08,2.84
"171","GABINETE","Ativacao",3.88,2.38
"172","GANGRENA","Ativacao",4.81,2.81
"173","GARFO","Ativacao",3.83,2.47
"174","GAROTOS","Ativacao",4.77,2.97
"175","GARRAFA","Ativacao",4.19,2.77
"176","GATINHO","Ativacao",3.95,3.13
"177","GATO","Ativacao",4.64,2.74
"178","GELADEIRA","Ativacao",3.33,2.61
"179","GELÉIA","Ativacao",3.7,2.22
"180","GELEIRA","Ativacao",3.59,2.31
"181","GÊNERO","Ativacao",4.56,2.1
"182","GENTIL","Ativacao",3.38,2.95
"183","GERMES","Ativacao",5.46,2.77
"184","GINASTA","Ativacao",4.12,2.7
"185","GLAMOUR","Ativacao",4.13,2.28
"186","GLÓRIA","Ativacao",4.72,3.45
"187","GOLFISTA","Ativacao",4.66,2.54
"188","GOLPE","Ativacao",5.32,2.95
"189","GORDO","Ativacao",4.82,2.92
"190","GOSTO","Ativacao",4.31,2.74
"191","GRACINHA","Ativacao",3.73,2.82
"192","GRADUADO","Ativacao",5.3,3.37
"193","GRAMA","Ativacao",3.21,2.12
"194","GRAMADO","Ativacao",3.9,3.18
"195","GRAMPOS","Ativacao",3.42,2.49
"196","GRANADA","Ativacao",6.03,3.16
"197","GRITO","Ativacao",6.19,2.31
"198","GROSSO","Ativacao",5.88,2.63
"199","GUERRA","Ativacao",6.79,2.97
"200","GUILHOTINA","Ativacao",4.27,2.92
"201","GULA","Ativacao",4.94,2.67
"202","HABILIDADE","Ativacao",4.27,2.36
"203","HABITANTE","Ativacao",3.34,2.06
"204","HÁBITO","Ativacao",4.95,2.39
"205","HEMODIÁLISE","Ativacao",4.9,2.94
"206","HEROÍNA","Ativacao",4.89,3.18
"207","HIDRANTE","Ativacao",3.75,2.47
"208","HIDROFOBIA","Ativacao",3.67,2.74
"209","HISTÓRIA","Ativacao",5.48,3.23
"210","HOMEM","Ativacao",4.47,3.16
"211","HOMICIDA","Ativacao",5.54,3.09
"212","HONESTO","Ativacao",3.32,5.38
"213","HONRA","Ativacao",5.09,3.04
"214","HORRÍVEL","Ativacao",5.55,2.84
"215","HORROR","Ativacao",5.83,2.9
"216","MERCADO","Ativacao",4.12,2.7
"217","MERETRIZ","Ativacao",3.52,2.41
"218","MERGULHADOR","Ativacao",3.79,2.75
"219","MÊS","Ativacao",3.9,2.51
"220","MESA","Ativacao",2.75,2
"221","METAL","Ativacao",3.17,2.04
"222","MÉTODO","Ativacao",3.83,2.59
"223","MILAGRE","Ativacao",4.99,3.26
"224","MILIONÁRIO","Ativacao",4.19,2.83
"225","MISÉRIA","Ativacao",5.89,3.22
"226","MÍSTICO","Ativacao",3.44,2.63
"227","MOBILIDADE","Ativacao",4.06,2.59
"228","MODESTO","Ativacao",3.08,2.23
"229","MOEDA","Ativacao",4.1,2.79
"230","MOFO","Ativacao",4.64,2.89
"231","MOINHO","Ativacao",3.44,2.18
"232","MOLDE","Ativacao",3.48,2.32
"233","MOMENTO","Ativacao",4.57,2.84
"234","MONTANHA","Ativacao",3.72,2.78
"235","MORAL","Ativacao",3.45,2.43
"236","MÓRBIDO","Ativacao",5.24,2.99
"237","MORTE","Ativacao",6.18,3.14
"238","MORTO","Ativacao",5.11,3.22
"239","MOSQUITO","Ativacao",5.6,3.1
"240","MOTIM","Ativacao",4.4,2.88
"241","MOTOR","Ativacao",3.96,2.35
"242","MUCO","Ativacao",3.35,1.98
"243","MULETA","Ativacao",4.75,2.77
"244","MULHER","Ativacao",3.89,2.6
"245","MUNDO","Ativacao",5.01,2.92
"246","MUSCULAR","Ativacao",4.54,3.27
"247","MUSEU","Ativacao",3,2.13
"248","MÚSICA","Ativacao",5.73,3.31
"249","MUTAÇÃO","Ativacao",4.4,2.75
"250","MUTILAR","Ativacao",5.46,3.33
"251","NADADOR","Ativacao",3.49,2.82
"252","NAMORADA","Ativacao",4.89,3.28
"253","NARCÓTICO","Ativacao",4.94,2.94
"254","NASCIMENTO","Ativacao",4.29,3.3
"255","NATAL","Ativacao",3.69,3.11
"256","NATURAL","Ativacao",4.76,3.16
"257","NATUREZA","Ativacao",3.25,3.03
"258","NÁUSEA","Ativacao",4.78,2.77
"259","NAVALHA","Ativacao",5,3.24
"260","NAVIO","Ativacao",3.68,2.72
"261","NECROTÉRIO","Ativacao",5.75,3.15
"262","NÉCTAR","Ativacao",5.41,3.25
"263","NEGLIGÊNCIA","Ativacao",5.78,2.85
"264","NERVOSO","Ativacao",5.33,3.05
"265","NEURÓTICO","Ativacao",6.1,2.98
"266","NEVE","Ativacao",5.19,2.91
"267","NÓ","Ativacao",4.76,2.77
"268","NOIVA","Ativacao",5.31,2.78
"269","NOME","Ativacao",3.53,2.79
"270","NOTÍCIA","Ativacao",4.93,2.62
"271","NOVO","Ativacao",4.94,2.94
"272","NU","Ativacao",4.49,2.88
"273","NUBLADO","Ativacao",3.73,2.53
"274","NUTRIR","Ativacao",4.9,2.72
"275","NUVEM","Ativacao",2.7,2.16
"276","OBEDECER","Ativacao",4.2,2.62
"277","OBESIDADE","Ativacao",5.55,3.3
"278","OBSCENO","Ativacao",4.09,2.77
"279","OBSESSÃO","Ativacao",5.19,2.86
"280","OBSTRUIR","Ativacao",5.29,3
"281","OCEANO","Ativacao",3.58,2.93
"282","ÓDIO","Ativacao",4.76,3.05
"283","OFENDER","Ativacao",6.23,3.14
"284","OFUSCAR","Ativacao",4.14,2.47
"285","ÔNIBUS","Ativacao",4.58,2.91
"286","ONIPOTENTE","Ativacao",4.76,2.81
"287","OPÇÃO","Ativacao",5.18,2.86
"288","RELÂMPAGO","Ativacao",5.85,2.72
"289","RELAXADO","Ativacao",3.76,3.01
"290","RELÓGIO","Ativacao",4.42,2.35
"291","REMÉDIO","Ativacao",4.24,2.54
"292","RÉPTIL","Ativacao",4.34,2.59
"293","REPUGNADO","Ativacao",4.56,2.31
"294","REPULSIVO","Ativacao",5.15,2.35
"295","RESERVADO","Ativacao",3.76,2.26
"296","RESPEITO","Ativacao",3.9,3.12
"297","RESPEITOSO","Ativacao",3.41,2.63
"298","RESPOSTA","Ativacao",4.47,2.73
"299","RESSENTIDO","Ativacao",4.8,2.24
"300","RESTAURANTE","Ativacao",3.96,2.77
"301","REUNIÃO","Ativacao",4.88,2.76
"302","REVERENTE","Ativacao",3.75,2.08
"303","REVISTA","Ativacao",3.51,2.54
"304","REVOLTA","Ativacao",6.47,2.52
"305","REVÓLVER","Ativacao",6.24,3.05
"306","RICO","Ativacao",4.21,2.71
"307","RIDÍCULO","Ativacao",4.87,2.7
"308","RIFLE","Ativacao",5.68,2.91
"309","RÍGIDO","Ativacao",4.77,2.14
"310","RIO","Ativacao",3.92,2.67
"311","RIQUEZAS","Ativacao",4.24,2.59
"312","RISADA","Ativacao",4.63,3.54
"313","ROCHA","Ativacao",3.52,2.11
"314","RODOVIA","Ativacao",4.65,2.34
"315","ROMÂNTICO","Ativacao",4.16,3.33
"316","ROSTO","Ativacao",3.95,2.8
"317","ROUPA","Ativacao",4.57,3.2
"318","RUA","Ativacao",4.42,2.38
"319","RUDE","Ativacao",5.2,2.34
"320","RUIDOSO","Ativacao",4.8,2.37
"321","SÁBIO","Ativacao",3.96,2.83
"322","SABOROSO","Ativacao",4.05,3.17
"323","SAFIRA","Ativacao",3.4,2.37
"324","SALADA","Ativacao",3.67,2.86
"325","SALVADOR","Ativacao",3.57,2.61
"326","SALVAR","Ativacao",4.56,3.16
"327","SANGRENTO","Ativacao",5.42,3.01
"328","SANTO","Ativacao",3.44,2.59
"329","SARAMPO","Ativacao",4.46,2.74
"330","SATISFEITO","Ativacao",3.99,3.04
"331","SAUDAR","Ativacao",3.64,2.84
"332","SAÚDE","Ativacao",4.1,3.16
"333","SECADOR","Ativacao",3.96,2.46
"334","SEDA","Ativacao",2.79,2.34
"335","SEGURO","Ativacao",3.7,2.69
"336","SENTIMENTO","Ativacao",4.85,2.85
"337","SÉRIO","Ativacao",4.01,2.17
"338","SEVERO","Ativacao",5.12,2.54
"339","SEXO","Ativacao",5.28,3.4
"340","SEXY","Ativacao",5.26,2.99
"341","SÍFILIS","Ativacao",5.37,3.22
"342","SOBRECARREGADO","Ativacao",6.49,2.54
"343","SOBRESSALTO","Ativacao",4.84,2.5
"344","SOCIAL","Ativacao",4.09,2.5
"345","SOCIEDADE","Ativacao",5.25,2.29
"346","SOFRIMENTO","Ativacao",6.14,2.9
"347","SOL","Ativacao",4.27,3.38
